5:56:12 AM [express] POST /api/generate-graph 200 in 13181ms :: {"nodes":[{"id":"n1","label":"Person…
5:56:13 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:14 AM [express] GET /api/logs 200 in 127ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:1…
5:56:15 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:16 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:17 AM [express] GET /api/logs 304 in 79ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:18 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:20 AM [express] GET /api/logs 304 in 77ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:20 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:22 AM [express] GET /api/logs 304 in 84ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:22 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:24 AM [express] GET /api/logs 304 in 74ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:24 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:26 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:27 AM [express] GET /api/logs 304 in 86ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:28 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:29 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":24,"timestamp":"2025-03-24T05:56:12…
5:56:30 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:32 AM [express] GET /api/logs 304 in 77ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:34 AM [express] GET /api/logs 304 in 77ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:36 AM [express] GET /api/logs 304 in 77ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:39 AM [express] GET /api/logs 304 in 79ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:41 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:43 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:45 AM [express] GET /api/logs 304 in 77ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:47 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:49 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:51 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:54 AM [express] GET /api/logs 304 in 74ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:56 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:56:58 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:00 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:02 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:04 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:06 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:08 AM [express] GET /api/logs 304 in 76ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
5:57:11 AM [express] GET /api/logs 304 in 75ms :: {"data":[{"id":16,"timestamp":"2025-03-24T03:00:00…
